covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
CCNA1,-0.14764451460833924,0.86273775110383,0.11068767938352955,-0.3645883797323738,0.06929935051569533,0.6944824551065697,1.0717569921409713,0.0,-1.3338839103921887,0.182241905365171,2.4560733590669717
CCNA2,0.22100035194530185,1.2473238695537634,0.0515058463529789,0.12005074810020952,0.3219499557903942,1.1275540713544707,1.3798157224421654,0.0,4.2907818741730095,1.780451333765461e-05,15.777397472318972
CCNB1,0.25332467055459323,1.2883014824982304,0.06153284222928365,0.13272251591881196,0.3739268251903745,1.1419330861107018,1.45343079204401,0.0,4.116901826355671,3.839995453328793e-05,14.668535871684101
CCNB2,0.1741274066768162,1.190207196504406,0.03829814199855327,0.09906442768485095,0.24919038566878143,1.1041374342859827,1.2829862720187115,0.0,4.546628050086449,5.451220979501367e-06,17.484989164428374
CCNB3,-0.0016485387123668575,0.9983528193811838,0.1294288048785919,-0.25532433483646905,0.2520272574117353,0.7746652062989605,1.2866311070407193,0.0,-0.012737031095305534,0.9898375943171666,0.014736257668344853
CCNC,-0.03272215642700753,0.967807421308457,0.046902459094088016,-0.12464928703778316,0.059204974183768105,0.8828064599671683,1.0609926945647399,0.0,-0.6976639830625023,0.485387357495757,1.0427915626564652
CCND1,0.034460528183934434,1.0350611718255875,0.03473697899833203,-0.033622699584520584,0.10254375595238946,0.9669362612748852,1.107985781822272,0.0,0.9920415988272651,0.3211772333903564,1.6385584636726076
CCND2,-0.29350675007373905,0.7456441896938496,0.051212989750542774,-0.39388236552542183,-0.19313113462205628,0.6744333881915244,0.8243738630957426,0.0,-5.731099697623655,9.978159365271075e-09,26.578579142582374
CCND3,-0.013208596755201881,0.9868782539464196,0.08878200670612682,-0.18721813237440402,0.16080093886400024,0.829262827585502,1.1744511579616366,0.0,-0.14877560493674177,0.8817307008213485,0.18159000136545386
CCNE1,0.12433368204158408,1.1323936673945465,0.03989487117604024,0.046141171368680095,0.20252619271448807,1.0472222383188918,1.2244921574753556,0.0,3.1165329872340948,0.0018299120637656214,9.09400996304755
CCNE2,0.23145830364288092,1.260436769860225,0.049788934228523894,0.13387378572634057,0.3290428215594213,1.1432485162571733,1.3896373607523673,0.0,4.64879008216005,3.3388780243785316e-06,18.192205179378817
CCNF,0.3171028669675325,1.3731438158009872,0.060204213236708264,0.19910477730601467,0.4351009566290503,1.2203098199770932,1.5451190410873603,0.0,5.267120852834028,1.3857998184804364e-07,22.782777791832714
CCNG1,-0.22566442170286483,0.7979858434694819,0.05760785794706623,-0.33857374850561417,-0.11275509490011548,0.7127862105326251,0.8933694240547518,0.0,-3.9172506971222516,8.956459294404678e-05,13.446711961792332
CCNG2,-0.1876170725533985,0.8289320673058009,0.05420959776632881,-0.2938659317918059,-0.08136821331499106,0.7453764160253108,0.9218541899567374,0.0,-3.4609567361507527,0.0005382593078990921,10.859411017003193
CCNH,-0.1751575490329052,0.8393247755452468,0.06594350294266454,-0.3044044398149388,-0.04591065825087162,0.7375625064767066,0.9551272911217689,0.0,-2.6561759872719874,0.007903235809075872,6.983340830117633
